date,KPC4,KPB8,dayofweek,quarter,dayofyear,dayofmonth,weekofyear,KPC4_lag_1,KPB8_lag_1,KPC4_lag_3,KPB8_lag_3,KPC4_lag_6,KPB8_lag_6,KPC4_lag_12,KPB8_lag_12,KPC4_window_3_mean,KPC4_window_3_std,KPB8_window_3_mean,KPB8_window_3_std,KPC4_window_6_mean,KPC4_window_6_std,KPB8_window_6_mean,KPB8_window_6_std
2014-07-01,50.4,63.3,1,3,182,1,27,50.1,63.2,49.5,62.2,45.8,58.5,44.0,57.2,50.03333333333333,0.503322295683878,62.6,0.5291502622112928,48.75,1.707337107896209,61.699999999999996,1.6346253393362495
2014-08-01,51.3,63.0,4,3,213,1,31,50.4,63.3,50.5,62.4,48.2,62.0,45.0,55.8,50.333333333333336,0.20816659994454612,62.96666666666666,0.4932882862298407,49.51666666666667,1.0068101443003181,62.5,0.6066300355242421
2014-09-01,50.3,65.1,0,3,244,1,36,51.3,63.0,50.1,63.2,48.4,61.9,45.7,57.2,50.599999999999994,0.6244997998391378,63.166666666666664,0.15275252315935736,50.03333333333333,0.9912954487265699,62.666666666666664,0.5785038173312337
2014-10-01,51.4,65.0,2,4,274,1,40,50.3,65.1,50.4,63.3,49.5,62.2,45.7,58.1,50.666666666666664,0.5507570547278124,63.79999999999999,1.1357816691592313,50.35,0.585662018573285,63.20000000000001,1.0295630140987637
2014-11-01,52.1,64.8,5,4,305,1,44,51.4,65.0,51.3,63.0,50.5,62.4,45.5,58.2,51.0,0.6082762530290882,64.36666666666666,1.1846237095936345,50.666666666666664,0.5465040408505643,63.666666666666664,1.1165422816296724
2014-12-01,53.6,61.4,0,4,335,1,49,52.1,64.8,50.3,65.1,50.1,63.2,45.5,58.1,51.26666666666667,0.9073771725872499,64.96666666666665,0.1527525231585306,50.93333333333334,0.7865536641997124,64.06666666666666,0.9953223933313194
2015-01-01,53.6,67.2,3,1,1,1,1,53.6,61.4,51.4,65.0,50.4,63.3,45.8,58.5,52.36666666666667,1.1239810200054021,63.73333333333333,2.0231987873986728,51.51666666666667,1.2221565638926932,63.76666666666667,1.4678782874158172
2015-02-01,53.8,67.0,6,1,32,1,5,53.6,67.2,52.1,64.8,51.3,63.0,48.2,62.0,53.1,0.8660254037838708,64.46666666666665,2.9143323992522494,52.050000000000004,1.3307892395113983,64.41666666666667,1.9903935959168444
2015-03-01,54.4,69.0,6,1,60,1,9,53.8,67.0,53.6,61.4,50.3,65.1,48.4,61.9,53.666666666666664,0.11547005383356071,65.19999999999999,3.2924155266305526,52.46666666666667,1.4361986863473966,65.08333333333333,2.0884603579351895
2015-04-01,56.0,66.6,2,2,91,1,14,54.4,69.0,53.6,67.2,51.4,65.0,49.5,62.2,53.93333333333334,0.41633319989200446,67.73333333333333,1.101514109456129,53.15,1.1449890829170863,65.73333333333333,2.63109609605327
2015-05-01,54.7,68.4,4,2,121,1,18,56.0,66.6,53.8,67.0,52.1,64.8,50.5,62.4,54.73333333333333,1.1372481406150081,67.53333333333332,1.2858201014648043,53.916666666666664,1.2718752559374547,66.0,2.6229754097208153
2015-06-01,56.6,70.5,0,2,152,1,23,54.7,68.4,54.4,69.0,53.6,61.4,50.1,63.2,55.03333333333333,0.8504900548109198,67.99999999999999,1.2489995996787062,54.35,0.9246621004449649,66.60000000000001,2.7040710049849013
2015-07-01,56.9,70.5,2,3,182,1,27,56.6,70.5,56.0,66.6,53.6,67.2,50.4,63.3,55.76666666666667,0.9712534856216737,68.49999999999999,1.951922129593675,54.849999999999994,1.2062338081811865,68.11666666666666,1.4784000360750245
2015-08-01,55.6,73.1,5,3,213,1,31,56.9,70.5,54.7,68.4,53.8,67.0,51.3,63.0,56.06666666666666,1.1930353445444268,69.8,1.2124355652971044,55.400000000000006,1.2727922061355017,68.66666666666667,1.670528858375876
2015-09-01,57.6,72.7,1,3,244,1,36,55.6,73.1,56.6,70.5,54.4,69.0,50.3,65.1,56.36666666666667,0.6806859285545955,71.36666666666666,1.501110699892045,55.699999999999996,1.003992031840528,69.68333333333334,2.219384299004241
2015-10-01,57.5,70.2,3,4,274,1,40,57.6,72.7,56.9,70.5,56.0,66.6,51.4,65.0,56.70000000000001,1.0148891565086748,72.09999999999998,1.3999999999989101,56.23333333333334,1.025020325001381,70.3,2.489176570675504
2015-11-01,59.7,71.1,6,4,305,1,44,57.5,70.2,55.6,73.1,54.7,68.4,52.1,64.8,56.9,1.1269427669579688,71.99999999999999,1.5716233645492055,56.48333333333334,1.1338724208066515,70.9,1.7401149387324482
